"X"	"artist"	"song"	"date"	"num_songs"	"fraction"	"hour"
"1"	0	"Marlene Dietrich"	"Puff der Zauberdrachen"	"12/12/2001"	43	0	"First"
"2"	1	"Ruach"	"Puff The Kosher Dragon"	"12/12/2001"	43	0.0232558139534884	"First"
"3"	2	"Gefilte Joe & The Fish"	"Hanukah Rocks"	"12/12/2001"	43	0.0465116279069767	"First"
"4"	3	"Kalesijski Svuci"	"Komsinice Mila Moja"	"12/12/2001"	43	0.0697674418604651	"First"
"5"	4	"Tornado Lue"	"Marie"	"12/12/2001"	43	0.0930232558139535	"First"
"6"	5	"Stereo Total"	"Ich Weiss Nicht Mehr Genou"	"12/12/2001"	43	0.116279069767442	"First"
"7"	6	"Messe Frankfurt"	"Happy Meeting"	"12/12/2001"	43	0.13953488372093	"First"
"8"	7	"Peter Thomas"	"Die Hexer"	"12/12/2001"	43	0.162790697674419	"First"
"9"	8	"Roger Roger"	"Roger Rhythm #1"	"12/12/2001"	43	0.186046511627907	"First"
"10"	9	"Little Rubber Boy"	"Rubber Band Players"	"12/12/2001"	43	0.209302325581395	"First"
"11"	10	"The Bible For Little Eyes"	"The Lepers"	"12/12/2001"	43	0.232558139534884	"First"
"12"	11	"Eyvind Kang"	"10:10"	"12/12/2001"	43	0.255813953488372	"First"
"13"	12	"Bodenstandig 2000"	"Dachziegelkauer"	"12/12/2001"	43	0.27906976744186	"First"
"14"	13	"Benny Goodman & His Orchestra"	"Whispering"	"12/12/2001"	43	0.302325581395349	"First"
"15"	14	"Charlie & His Orchestra"	"Charlie & His Orchestra"	"12/12/2001"	43	0.325581395348837	"First"
"16"	15	"Marlene Dietrich"	"Speaks to American GIs"	"12/12/2001"	43	0.348837209302326	"Second"
"17"	16	"Jesus & Rubber Bands"	""	"12/12/2001"	43	0.372093023255814	"Second"
"18"	17	"Catfive"	"Travelite"	"12/12/2001"	43	0.395348837209302	"Second"
"19"	18	"Andreus Dorau & Justus Kohnke"	"Bei Manni Und Bine"	"12/12/2001"	43	0.418604651162791	"Second"
"20"	19	"Frank Pahl & Klimperei"	"Lyon Fritters"	"12/12/2001"	43	0.441860465116279	"Second"
"21"	20	"L'Ensemble Raye"	"Skeleton Fred"	"12/12/2001"	43	0.465116279069767	"Second"
"22"	21	"Kangaroo paw"	"Osusowake"	"12/12/2001"	43	0.488372093023256	"Second"
"23"	22	"The Bible for Little Eyes"	"Jonah"	"12/12/2001"	43	0.511627906976744	"Second"
"24"	23	"Wendy Carlos"	"Three Dances from Nutcracker Suite"	"12/12/2001"	43	0.534883720930233	"Second"
"25"	24	"King Louie"	"headin' For The Big City Lights"	"12/12/2001"	43	0.558139534883721	"Second"
"26"	25	"Rube Waddel"	"The Vienna Waltz"	"12/12/2001"	43	0.581395348837209	"Second"
"27"	26	"Motelli Skronkle"	"Leopardi"	"12/12/2001"	43	0.604651162790698	"Second"
"28"	27	"George Jones"	"If Drinkin' Don't Kill Me"	"12/12/2001"	43	0.627906976744186	"Second"
"29"	28	"The Bible For Little Eyes"	"Lazarus"	"12/12/2001"	43	0.651162790697674	"Second"
"30"	29	"Fugazi"	"Furniture"	"12/12/2001"	43	0.674418604651163	"Third"
"31"	30	"Sunshine"	"Narcoleptic Feedback"	"12/12/2001"	43	0.697674418604651	"Third"
"32"	31	"Half Japanese"	"Firecracker Firecracker"	"12/12/2001"	43	0.720930232558139	"Third"
"33"	32	"Frank Sinatra & Gordon Jenkins"	"World War None"	"12/12/2001"	43	0.744186046511628	"Third"
"34"	33	"Lotte Lenya"	"Saga of Johnny"	"12/12/2001"	43	0.767441860465116	"Third"
"35"	34	"Dave Cavanaugh"	"The Beast"	"12/12/2001"	43	0.790697674418605	"Third"
"36"	35	"Firesign Theater"	"Over The Edge"	"12/12/2001"	43	0.813953488372093	"Third"
"37"	36	"Anton garcia Abril & Marcello Giombini"	"Sequence 5 from 4..3..2..1..Morte"	"12/12/2001"	43	0.837209302325581	"Third"
"38"	37	"Barbara Morgenstern"	"dr. Mr."	"12/12/2001"	43	0.86046511627907	"Third"
"39"	38	"Obeng Ungu & Jalan Buntu with Group"	"Sore Pokok"	"12/12/2001"	43	0.883720930232558	"Third"
"40"	39	"Brian Eno"	"Dead Finks Don't Talk"	"12/12/2001"	43	0.906976744186046	"Third"
"41"	40	"Zigarettenrauchen und Rosa"	"manner"	"12/12/2001"	43	0.930232558139535	"Third"
"42"	41	"The Bible For Little Eyes"	"Jesus is Shining!"	"12/12/2001"	43	0.953488372093023	"Third"
"43"	42	"Elizabeth Clare Prophet's Spokesguy"	"Invocation for Judgement Against Rock Music"	"12/12/2001"	43	0.976744186046512	"Third"
"44"	43	"Friends of Dean Martinez"	"Wichita Lineman"	"12/12/2001"	43	1	"Third"
"45"	0	"Anthony King"	"Forgotten World"	"12/5/2001"	38	0	"First"
"46"	1	"Parliament"	"I Call My Baby Pussycat"	"12/5/2001"	38	0.0263157894736842	"First"
"47"	2	"Os Mutantes"	"A Minha Menina"	"12/5/2001"	38	0.0526315789473684	"First"
"48"	3	"Eddie Warner"	"Xylo Spleen"	"12/5/2001"	38	0.0789473684210526	"First"
"49"	4	"Anton Garcia Abril & Marcello Giombini"	"Seli"	"12/5/2001"	38	0.105263157894737	"First"
"50"	5	"The Crystals"	"He Hit Me (And It Felt Like A Kiss)"	"12/5/2001"	38	0.131578947368421	"First"
"51"	6	"Stereo Total"	"Ma Radio"	"12/5/2001"	38	0.157894736842105	"First"
"52"	7	"Marlene Dietrich"	"Falling In Love Again"	"12/5/2001"	38	0.184210526315789	"First"
"53"	8	"Quarks"	"Insicherheit"	"12/5/2001"	38	0.210526315789474	"First"
"54"	9	"Stock Hausen & Wlakman"	"Boats Organ Transplants Vol 1"	"12/5/2001"	38	0.236842105263158	"First"
"55"	10	"Melvin Van Peebles"	"Come On Feet"	"12/5/2001"	38	0.263157894736842	"First"
"56"	11	"David Holmes"	"Living Room"	"12/5/2001"	38	0.289473684210526	"First"
"57"	12	"Longshoremen"	"What Does It All Mean?"	"12/5/2001"	38	0.315789473684211	"First"
"58"	13	"Inflatable Boy Clams"	"Skeleton"	"12/5/2001"	38	0.342105263157895	"Second"
"59"	14	"Dave Cavanaugh"	"The Beast"	"12/5/2001"	38	0.368421052631579	"Second"
"60"	15	"Quincy Jones"	"Blues In The Night"	"12/5/2001"	38	0.394736842105263	"Second"
"61"	16	"Frank Sinatra"	"Makes Fun of rex Reed"	"12/5/2001"	38	0.421052631578947	"Second"
"62"	17	"The Beatles"	"I Want To Tell You"	"12/5/2001"	38	0.447368421052632	"Second"
"63"	18	"The Beatles"	"It's All Too Much"	"12/5/2001"	38	0.473684210526316	"Second"
"64"	19	"The Beatles"	"Love You To"	"12/5/2001"	38	0.5	"Second"
"65"	20	"Monty Python"	"I'm So Worried"	"12/5/2001"	38	0.526315789473684	"Second"
"66"	21	"Tom Waits"	"What's he Building?"	"12/5/2001"	38	0.552631578947368	"Second"
