"index"	"date"	"bohemian_factor"
"1"	"1/1/2003"	0
"2"	"1/1/2014"	0
"3"	"1/10/2007"	0
"4"	"1/11/2006"	0
"5"	"1/11/2012"	0
"6"	"1/12/2005"	0
"7"	"1/12/2011"	0
"8"	"1/13/2010"	2
"9"	"1/14/2004"	0
"10"	"1/14/2009"	0
"11"	"1/15/2003"	0
"12"	"1/15/2014"	0
"13"	"1/16/2002"	0
"14"	"1/16/2008"	0
"15"	"1/16/2013"	0
"16"	"1/17/2007"	0
"17"	"1/18/2006"	0
"18"	"1/18/2012"	0
"19"	"1/19/2005"	0
"20"	"1/19/2011"	0
"21"	"1/2/2002"	0
"22"	"1/2/2013"	0
"23"	"1/20/2010"	0
"24"	"1/21/2004"	0
"25"	"1/21/2009"	0
"26"	"1/22/2003"	0
"27"	"1/22/2014"	0
"28"	"1/23/2002"	0
"29"	"1/23/2008"	0
"30"	"1/23/2013"	0
"31"	"1/24/2007"	0
"32"	"1/25/2012"	0
"33"	"1/26/2011"	0
"34"	"1/27/2010"	0
"35"	"1/28/2004"	0
"36"	"1/28/2009"	0
"37"	"1/29/2003"	0
"38"	"1/29/2014"	0
"39"	"1/3/2007"	0
"40"	"1/30/2002"	0
"41"	"1/30/2008"	0
"42"	"1/30/2013"	0
"43"	"1/4/2006"	0
"44"	"1/4/2012"	0
"45"	"1/5/2005"	0
"46"	"1/6/2010"	0
"47"	"1/7/2004"	0
"48"	"1/7/2009"	0
"49"	"1/8/2003"	0
"50"	"1/8/2014"	0
"51"	"1/9/2002"	0
"52"	"1/9/2008"	0
"53"	"1/9/2013"	0
"54"	"10/1/2003"	0
"55"	"10/1/2008"	0
"56"	"10/1/2014"	0
"57"	"10/10/2007"	0
"58"	"10/10/2012"	0
"59"	"10/11/2006"	0
"60"	"10/12/2005"	0
"61"	"10/12/2011"	1
"62"	"10/13/2004"	0
"63"	"10/13/2010"	0
"64"	"10/14/2009"	0
"65"	"10/15/2003"	0
"66"	"10/15/2008"	0
"67"	"10/15/2014"	0
"68"	"10/16/2002"	0
"69"	"10/16/2013"	0
"70"	"10/17/2001"	0
"71"	"10/17/2007"	0
"72"	"10/17/2012"	0
"73"	"10/18/2006"	0
"74"	"10/19/2005"	0
"75"	"10/19/2011"	0
"76"	"10/2/2002"	0
"77"	"10/2/2013"	0
"78"	"10/20/2004"	0
"79"	"10/20/2010"	0
"80"	"10/21/2009"	0
"81"	"10/22/2003"	0
"82"	"10/22/2008"	0
"83"	"10/22/2014"	0
"84"	"10/23/2002"	0
"85"	"10/23/2013"	0
"86"	"10/24/2001"	0
"87"	"10/24/2007"	0
"88"	"10/24/2012"	0
"89"	"10/25/2006"	0
"90"	"10/26/2005"	0
"91"	"10/26/2011"	0
"92"	"10/27/2004"	0
"93"	"10/27/2010"	0
"94"	"10/29/2003"	0
"95"	"10/29/2008"	0
"96"	"10/3/2001"	0
"97"	"10/3/2012"	0
"98"	"10/30/2002"	0
"99"	"10/30/2013"	0
"100"	"10/31/2001"	0
"101"	"10/31/2007"	0
"102"	"10/31/2012"	0
"103"	"10/5/2005"	0
"104"	"10/5/2011"	1
"105"	"10/6/2004"	0
"106"	"10/6/2010"	0
"107"	"10/7/2009"	1
"108"	"10/8/2003"	0
"109"	"10/8/2008"	0
"110"	"10/8/2014"	0
"111"	"10/9/2002"	0
"112"	"10/9/2013"	0
"113"	"11/1/2006"	0
"114"	"11/10/2004"	0
"115"	"11/10/2010"	0
"116"	"11/11/2009"	0
"117"	"11/12/2003"	0
"118"	"11/12/2008"	0
"119"	"11/13/2002"	0
"120"	"11/13/2013"	0
"121"	"11/14/2001"	0
"122"	"11/14/2007"	0
"123"	"11/14/2012"	1
"124"	"11/15/2006"	0
"125"	"11/16/2005"	0
"126"	"11/16/2011"	0
"127"	"11/17/2004"	0
"128"	"11/17/2010"	0
"129"	"11/18/2009"	0
"130"	"11/19/2003"	0
"131"	"11/19/2008"	0
"132"	"11/2/2005"	0
"133"	"11/2/2011"	0
"134"	"11/20/2002"	0
"135"	"11/20/2013"	0
"136"	"11/21/2001"	0
"137"	"11/21/2007"	0
"138"	"11/21/2012"	0
"139"	"11/22/2006"	0
"140"	"11/23/2005"	0
"141"	"11/23/2011"	0
"142"	"11/24/2004"	0
"143"	"11/25/2009"	0
"144"	"11/26/2003"	0
"145"	"11/27/2002"	0
"146"	"11/27/2013"	0
"147"	"11/28/2001"	0
"148"	"11/28/2007"	0
"149"	"11/28/2012"	0
"150"	"11/29/2006"	0
"151"	"11/3/2004"	0
"152"	"11/3/2010"	0
"153"	"11/30/2005"	0
"154"	"11/30/2011"	0
"155"	"11/4/2009"	0
"156"	"11/5/2008"	0
"157"	"11/6/2002"	0
"158"	"11/6/2013"	0
"159"	"11/7/2007"	0
"160"	"11/7/2012"	0
"161"	"11/8/2006"	0
"162"	"11/9/2005"	0
"163"	"11/9/2011"	1
"164"	"12/1/2004"	0
"165"	"12/1/2010"	0
"166"	"12/10/2008"	0
"167"	"12/11/2002"	0
"168"	"12/11/2013"	1
"169"	"12/12/2001"	0
"170"	"12/12/2007"	0
"171"	"12/12/2012"	0
"172"	"12/13/2006"	0
"173"	"12/14/2005"	0
"174"	"12/14/2011"	0
"175"	"12/15/2004"	0
"176"	"12/16/2009"	0
"177"	"12/17/2008"	0
"178"	"12/18/2002"	0
"179"	"12/18/2013"	0
"180"	"12/19/2007"	0
"181"	"12/19/2012"	0
"182"	"12/2/2009"	0
"183"	"12/20/2006"	0
"184"	"12/3/2003"	0
"185"	"12/3/2008"	0
"186"	"12/31/2003"	0
"187"	"12/4/2002"	0
"188"	"12/4/2013"	0
