dj	border.width	name
AE	1	Airborne Event
BT	1	Brian Turner
BK	0	Bryce
CL	1	Busy Doing Nothing
DF	1	Dangerous for the Brain
DK	1	Diane's Kamikaze Fun Machine
DH	1	Duane Train
ED	1	Evan Funk Davies
GF	1	Gaylord Fields
ID	1	Imaginary Radio
IS	1	Inflatable Squirrel Carcass
IT	1	Irene Trudel
IC	1	Irwin Chusid
JA	1	John Allen
KF	1	Ken Freedman
LB	1	Liz Berg
BY	1	Marty McSorley
WB	1	My Castle of Quiet
ND	1	Nickel & Dime Radio
BJ	1	Put the Needle on the Record
SW	1	Scott Williams
SP	1	Shrunken Planet
FR	0	Strength Through Failure
SN	1	Surface Noise
TQ	1	Therese
LM	1	This Modern World
TA	1	Todd-o-phonic Todd
TC	1	Tony Coulter
DM	1	World of Echo
HC	0	Hello Children
UT	1	Blurred and Obscured
MD	0	Long Rally, The
DT	1	Infinite Distortion
JJ	0	Frow Show, The
HD	0	Hinky Dinky Time
CI	1	Circle Time
KU	1	Miniature Minotaurs
JQ	1	Dark Night of the Soul
HP	1	A440/Stochastic Hit Parade
DY	0	Debbie Does WFMU
KW	1	Knuckle Sandwich
VF	1	Vocal Fry
DN	1	Daniel Blumin
MY	1	100% Whatever
NK	1	Burn It Down!
PE	0	Morricone Island
HG	1	Honky Tonk Music Girl
DO	1	Destination: Out
CD	1	Champ Sound
KK	1	Kaminsky Kamoutsky
PL	1	Do or DIY
YN	0	Dance with me, Stanley
SD	1	Seven Second Delay
CP	1	Dusty Show, The
CR	1	Sinner's Crossroads
CF	1	Sophisticated Boom Boom
SV	1	Downtown Soulville
AH	1	Avant Ghetto, The
AG	1	Samantha
JP	1	Jim Price
GS	1	Goddamn Dave Hill Show, The
RR	1	Prove It All Night!
GT	1	Garbage Time
GM	1	Dr. Gameshow
PT	1	Paid By the Tear
NN	1	Nick Name
MN	1	Underwater Theme Park

